year_week,week_index,year,pollutant,value,threshold_pc75,distance_from_thr,exposed,weight
2023-W35,18,2023,PM2.5,10.428571428571429,18.559,-8.130714285714285,0,0.01
2023-W36,19,2023,PM2.5,19.594285714285714,18.559,1.0350000000000001,1,0.240850115903679
2023-W37,20,2023,PM2.5,13.73857142857143,18.559,-4.820714285714285,0,0.01
2023-W38,21,2023,PM2.5,8.52142857142857,18.559,-10.037857142857144,0,0.01
2023-W39,22,2023,PM2.5,26.472857142857144,18.559,7.91357142857143,1,0.7415633942652822
2023-W40,23,2023,PM2.5,20.142857142857142,18.559,1.5835714285714282,1,0.3217589078861737
2023-W41,24,2023,PM2.5,15.571428571428571,18.559,-2.987857142857143,0,0.01
2023-W42,25,2023,PM2.5,12.381428571428572,18.559,-6.1778571428571425,0,0.01
2023-W43,26,2023,PM2.5,14.24,18.559,-4.319285714285714,0,0.01
2023-W44,27,2023,PM2.5,10.69,18.559,-7.869285714285715,0,0.01
2023-W45,28,2023,PM2.5,20.85571428571429,18.559,2.2964285714285744,1,0.4043592598591159
2023-W46,29,2023,PM2.5,25.095714285714287,18.559,6.536428571428573,1,0.6846720622890392
2023-W47,30,2023,PM2.5,17.524285714285714,18.559,-1.0350000000000001,0,0.01
2023-W48,31,2023,PM2.5,16.427142857142858,18.559,-2.1321428571428562,0,0.01
2023-W49,32,2023,PM2.5,32.57,18.559,14.010714285714286,1,0.9182407015546835
2023-W50,33,2023,PM2.5,36.66428571428571,18.559,18.104999999999997,1,1.0
2023-W51,34,2023,PM2.5,28.380000000000003,18.559,9.820714285714288,1,0.8072890121006155
2023-W52,35,2023,PM2.5,32.808571428571426,18.559,14.249285714285712,1,0.9235860230959558
2024-W01,36,2024,PM2.5,17.38142857142857,21.31,-3.9282142857142865,0,0.01
2024-W02,37,2024,PM2.5,41.23857142857143,21.31,19.928928571428575,1,0.767445542052799
2024-W03,38,2024,PM2.5,32.097142857142856,21.31,10.787499999999998,1,0.6225702684612247
2024-W04,39,2024,PM2.5,59.04714285714285,21.31,37.7375,1,0.9228145225801783
