maxlag,vardf,lagdf,timedf,meteorology,partial_week,cum_RR,cum_RR_low,cum_RR_high,dispersion,converged,warn,rel_diff_pct,ci_excludes_1,classification
2,2,2,6,linear,exclude_W52,1.504,1.14,1.983,58.9,TRUE,,-15.4,TRUE,robust
4,2,2,6,linear,exclude_W52,1.74,1.271,2.381,56.54,TRUE,,-2.1,TRUE,robust
6,2,2,6,linear,exclude_W52,1.971,1.418,2.741,53.23,TRUE,,10.9,TRUE,robust
2,3,2,6,linear,exclude_W52,1.432,1.061,1.932,59.06,TRUE,,-19.5,TRUE,robust
4,3,2,6,linear,exclude_W52,1.704,1.207,2.407,56.93,TRUE,,-4.1,TRUE,robust
6,3,2,6,linear,exclude_W52,1.954,1.344,2.84,53.87,TRUE,,9.9,TRUE,robust
2,2,3,6,linear,exclude_W52,1.478,1.117,1.956,59.38,TRUE,,-16.9,TRUE,robust
4,2,3,6,linear,exclude_W52,1.732,1.262,2.377,57.2,TRUE,,-2.6,TRUE,robust
6,2,3,6,linear,exclude_W52,1.959,1.404,2.735,53.98,TRUE,,10.2,TRUE,robust
2,3,3,6,linear,exclude_W52,1.409,1.039,1.91,60.01,TRUE,,-20.8,TRUE,robust
4,3,3,6,linear,exclude_W52,1.701,1.196,2.418,57.97,TRUE,,-4.3,TRUE,robust
6,3,3,6,linear,exclude_W52,1.905,1.298,2.796,54.92,TRUE,,7.2,TRUE,robust
2,2,2,8,linear,exclude_W52,1.405,1.013,1.949,58.04,TRUE,,-21,TRUE,robust
4,2,2,8,linear,exclude_W52,1.608,1.074,2.408,56.06,TRUE,,-9.5,TRUE,robust
6,2,2,8,linear,exclude_W52,1.735,1.071,2.809,52.13,TRUE,,-2.4,TRUE,robust
2,3,2,8,linear,exclude_W52,1.347,0.951,1.907,58.3,TRUE,,-24.3,FALSE,partially_robust
4,3,2,8,linear,exclude_W52,1.574,1.025,2.417,56.5,TRUE,,-11.5,TRUE,robust
6,3,2,8,linear,exclude_W52,1.75,1.053,2.909,52.88,TRUE,,-1.6,TRUE,robust
2,2,3,8,linear,exclude_W52,1.385,0.995,1.927,58.53,TRUE,,-22.1,FALSE,partially_robust
4,2,3,8,linear,exclude_W52,1.578,1.047,2.379,56.64,TRUE,,-11.3,TRUE,robust
6,2,3,8,linear,exclude_W52,1.686,1.026,2.772,52.8,TRUE,,-5.2,TRUE,robust
2,3,3,8,linear,exclude_W52,1.329,0.934,1.892,59.27,TRUE,,-25.2,FALSE,partially_robust
4,3,3,8,linear,exclude_W52,1.549,0.998,2.404,57.46,TRUE,,-12.9,FALSE,partially_robust
6,3,3,8,linear,exclude_W52,1.681,0.993,2.846,53.89,TRUE,,-5.5,FALSE,partially_robust
2,2,2,10,linear,exclude_W52,1.283,0.953,1.727,46.39,TRUE,,-27.8,FALSE,partially_robust
4,2,2,10,linear,exclude_W52,1.417,0.986,2.036,46.23,TRUE,,-20.3,FALSE,partially_robust
6,2,2,10,linear,exclude_W52,1.408,0.901,2.201,45.74,TRUE,,-20.8,FALSE,partially_robust
2,3,2,10,linear,exclude_W52,1.354,0.993,1.847,46.5,TRUE,,-23.8,FALSE,partially_robust
4,3,2,10,linear,exclude_W52,1.591,1.094,2.312,44.97,TRUE,,-10.5,TRUE,robust
6,3,2,10,linear,exclude_W52,1.646,1.042,2.601,44.33,TRUE,,-7.4,TRUE,robust
2,2,3,10,linear,exclude_W52,1.266,0.938,1.71,46.81,TRUE,,-28.8,FALSE,partially_robust
4,2,3,10,linear,exclude_W52,1.377,0.953,1.99,46.42,TRUE,,-22.5,FALSE,partially_robust
6,2,3,10,linear,exclude_W52,1.315,0.827,2.092,45.95,TRUE,,-26,FALSE,partially_robust
2,3,3,10,linear,exclude_W52,1.336,0.976,1.83,47.25,TRUE,,-24.8,FALSE,partially_robust
4,3,3,10,linear,exclude_W52,1.567,1.07,2.294,45.26,TRUE,,-11.9,TRUE,robust
6,3,3,10,linear,exclude_W52,1.535,0.953,2.471,44.87,TRUE,,-13.7,FALSE,partially_robust
