year,week,week_index,year_week,week_start,season,winter_flag,spring_flag,summer_flag,NO2_mean,NO2_max,NO2_p75,NO2_n_days,PM25_mean,PM25_max,PM25_p75,PM25_n_days,PM10_mean,PM10_max,PM10_p75,PM10_n_days,temp_mean,humidity_mean,respiratory_disease,ILI,pneumonia,sin52,cos52,sin26,cos26,sin1,cos1,sin2,cos2,time_numeric,partial_pollution_week,complete_pollution_week,missing_NO2_days,missing_PM25_days,missing_PM10_days,w52_2025_flag,outlier_flag
2024,45,80,2024-W45,2024-11-08,winter,1,0,0,49.98571428571428,65.21,53.1,7,35.09571428571429,44.33,39.17,7,50.98857142857143,59.0,54.25,7,7.78,86.25,2620,859,441,-0.23931566428755807,-0.9709418174260519,0.4647231720437691,0.8854560256532096,-0.23931566428755807,-0.9709418174260519,0.4647231720437691,0.8854560256532096,80,0,1,0,0,0,0,0
2024,46,81,2024-W46,2024-11-15,winter,1,0,0,48.949999999999996,63.77,50.480000000000004,7,42.75999999999999,58.0,55.33,7,61.535714285714285,82.25,81.0,7,5.81,85.51,2743,965,451,-0.3546048870425354,-0.9350162426854149,0.6631226582407949,0.7485107481711015,-0.3546048870425354,-0.9350162426854149,0.6631226582407949,0.7485107481711015,81,0,1,0,0,0,0,0
2024,47,82,2024-W47,2024-11-22,winter,1,0,0,40.50571428571429,50.35,41.19,7,19.57,33.33,26.835,7,28.535714285714285,46.25,36.665,7,5.58,82.75,2938,960,479,-0.46472317204376784,-0.8854560256532102,0.8229838658936555,0.5680647467311571,-0.46472317204376784,-0.8854560256532102,0.8229838658936555,0.5680647467311571,82,0,1,0,0,0,0,0
2024,48,83,2024-W48,2024-11-29,winter,1,0,0,54.04714285714285,69.16,64.65,7,34.76142857142857,46.33,37.165,7,52.535714285714285,65.0,56.0,7,4.73,91.73,2828,988,468,-0.5680647467311561,-0.8229838658936561,0.9350162426854152,0.3546048870425348,-0.5680647467311561,-0.8229838658936561,0.9350162426854152,0.3546048870425348,83,0,1,0,0,0,0,0
2024,49,84,2024-W49,2024-12-06,winter,1,0,0,47.58571428571429,52.6,51.099999999999994,7,30.23857142857143,43.0,34.0,7,44.035714285714285,59.75,54.0,7,4.06,91.56,3285,1052,518,-0.6631226582407952,-0.7485107481711012,0.992708874098054,0.1205366802553233,-0.6631226582407952,-0.7485107481711012,0.992708874098054,0.1205366802553233,84,0,1,0,0,0,0,0
2024,50,85,2024-W50,2024-12-13,winter,1,0,0,47.44571428571429,67.45,55.565,7,39.42714285714286,51.33,41.835,7,53.607142857142854,66.25,61.125,7,4.52,91.31,3302,1180,538,-0.7485107481711006,-0.6631226582407957,0.9927088740980542,-0.12053668025532172,-0.7485107481711006,-0.6631226582407957,0.9927088740980542,-0.12053668025532172,85,0,1,0,0,0,0,0
2024,51,86,2024-W51,2024-12-20,winter,1,0,0,50.117142857142845,65.9,62.655,7,19.047142857142855,40.67,31.0,7,28.428571428571427,53.25,44.375,7,4.46,63.23,3522,1231,561,-0.8229838658936557,-0.5680647467311568,0.9350162426854157,-0.35460488704253335,-0.8229838658936557,-0.5680647467311568,0.9350162426854157,-0.35460488704253335,86,0,1,0,0,0,0,0
2024,52,87,2024-W52,2024-12-27,winter,1,0,0,66.13571428571429,79.04,72.88,7,66.52571428571427,139.67,77.83500000000001,7,91.53571428571429,189.25,101.875,7,2.95,84.13,4670,1873,686,-0.885456025653209,-0.4647231720437701,0.8229838658936584,-0.5680647467311529,-0.885456025653209,-0.4647231720437701,0.8229838658936584,-0.5680647467311529,87,0,1,0,0,0,0,0
2025,1,88,2025-W01,2025-01-04,winter,1,0,0,31.47142857142857,40.68,32.78,7,25.66571428571428,35.33,31.0,7,34.17857142857143,47.5,42.0,7,4.63,89.56,3826,1666,688,-0.9350162426854141,-0.35460488704253784,0.6631226582407987,-0.748510748171098,-0.9350162426854141,-0.35460488704253784,0.6631226582407987,-0.748510748171098,88,0,1,0,0,0,0,0
2025,2,89,2025-W02,2025-01-11,winter,1,0,0,57.50285714285714,67.55,58.755,7,27.90285714285714,43.33,31.165,7,43.214285714285715,63.0,49.125,7,1.76,75.2,3524,1516,655,-0.9709418174260522,-0.2393156642875571,0.46472317204376734,-0.8854560256532106,-0.9709418174260522,-0.2393156642875571,0.46472317204376734,-0.8854560256532106,89,0,1,0,0,0,0,0
2025,3,90,2025-W03,2025-01-18,winter,1,0,0,47.96714285714286,58.91,54.755,7,23.189999999999998,37.67,25.33,7,31.75,55.75,34.5,7,4.89,92.2,4044,1820,763,-0.992708874098054,-0.12053668025532294,0.23931566428755754,-0.9709418174260521,-0.992708874098054,-0.12053668025532294,0.23931566428755754,-0.9709418174260521,90,0,1,0,0,0,0,0
